Census_year,spc_latin,total_arboles
1995,ACER PLATANOIDES,109325
1995,PLATANUS ACERIFOLIA,88040
1995,QUERCUS PALUSTRIS,36553
1995,GLEDITSIA TRIACANTHOS,33727
1995,PYRUS CALLERYANA,31295
1995,TILIA CORDATA,26489
1995,ACER SACCHARINUM,22347
1995,ACER RUBRUM,18000
1995,FRAXINUS PENNSYLVANICA,17685
1995,ACER SACCHARUM,15363
2005,PLATANUS ACERIFOLIA,89529
2005,ACER PLATANOIDES,74721
2005,PYRUS CALLERYANA,63593
2005,GLEDITSIA TRIACANTHOS,52191
2005,QUERCUS PALUSTRIS,43895
2005,TILIA CORDATA,27664
2005,FRAXINUS PENNSYLVANICA,20624
2005,ACER RUBRUM,20254
2005,ACER SACCHARINUM,18666
2005,GINKGO BILOBA,16256
2015,PLATANUS ACERIFOLIA,87014
2015,GLEDITSIA TRIACANTHOS,64264
2015,PYRUS CALLERYANA,58931
2015,QUERCUS PALUSTRIS,53185
2015,ACER PLATANOIDES,34189
2015,TILIA CORDATA,29742
2015,PRUNUS SPECIES,29279
2015,ZELKOVA SERRATA,29258
2015,GINKGO BILOBA,21024
2015,STYPHNOLOBIUM JAPONICUM,19338
